"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Polyommatus_valiabadi,1,""autofeature=true"",3,226.219673571945,0.6641,0.7384,17.2109,10.7821,0.189,19.7085,25.6256,16.4838"
"Polyommatus_vanensis,0.5,"" -h"",7,1066.84521889818,0.87005,0.8471,2.1249,42.3288,48.3643,0.2863,4.4836,2.4122"
"Polyommatus_zarathustra,1.4,""autofeature=true"",2,95.2390442473028,0.7555,0.75625,40.5567,0.2022,0,7.9371,10.3986,40.9055"
"Pseudophilotes_vicrama,0.7,"" threshold=false -p -h"",8.5,1985.81682172536,0.7474,0.71535,7.6497,24.1774,24.0131,0.0103,9.8178,34.3315"
"Rimisia_miris,0.8,"" -h -q"",5,497.294207124413,0.7601,0.72025,15.6086,28.6904,17.2157,3.0779,15.0253,20.382"
"Satyrium_abdominalis,0.5,"" threshold=false -h"",8,1383.06096871896,0.73085,0.7024,22.615,12.1523,8.4625,0.1821,21.4312,35.157"
"Satyrium_hyrcanica,1.2,"" -h"",6,711.074853373063,0.79145,0.7365,18.2977,33.3526,1.309,0.0088,16.8099,30.2221"
"Satyrium_marcidus,1.3,"" -q"",14,277.889661714974,0.9338,0.8943,34.4542,16.2514,1.5973,1.8486,38.5796,7.2688"
"Satyrium_mirabilis,1.2,"" -h -q"",5,585.768697756473,0.7117,0.71255,14.3123,41.1078,4.0895,1.4104,9.8146,29.2654"
"Satyrium_persepolis,0.6,"" -h"",7,636.281265347905,0.8021,0.7385,20.8719,21.0117,0.1319,17.4701,15.8322,24.6822"
"Satyrium_sassanides,0.6,"" -h"",8,704.141456867927,0.8074,0.77725,66.332,8.983,10.0633,1.5281,9.517,3.5766"
"Tarucus_balkanica,0.8,"" -p -h"",8,1233.37824850454,0.7512,0.73065,5.474,41.163,2.1595,33.0523,11.8349,6.3164"
"Tarucus_rosacea,1.3,"" -h -q"",5,576.441580397693,0.7714,0.76135,3.6398,2.7792,13.5686,70.0445,8.6953,1.2727"
"Tomares_callimachus,1.5,"" -q"",14,815.07018775957,0.77625,0.71595,17.422,33.2452,9.7805,5.7892,25.1061,8.657"
