"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Melitaea_arduinna",0.5," -h",7.5,1025.22065503269,0.78935,0.7729,27.6101,39.3626,14.1954,3.4602,1.9436,13.4281
"Melitaea_casta",1," -h -q",5,509.07905637723,0.83455,0.7766,3.8011,37.7556,20.7107,0,30.1492,7.5834
"Melitaea_cinxia",0.6," threshold=false -h",8,1278.94668053453,0.78195,0.736,25.7669,10.0173,40.0159,14.7147,3.7772,5.7079
"Melitaea_consulis",1.5," -q",2,177.628800836106,0.82835,0.82235,10.4023,15.917,1.9291,0,71.7515,0
"Melitaea_enoch",1.2," -h",4.5,282.458153789809,0.85915,0.8226,21.7067,22.5785,41.8864,0.8297,12.3335,0.6652
"Melitaea_gina",1.1," -p",24,1258.65920638953,0.8172,0.71145,28.1023,42.8351,2.2919,4.8909,4.1385,17.7412
"Melitaea_interrupta",0.8," -h",6,647.706870900839,0.75335,0.77175,9.6205,33.1717,31.4315,6.0169,8.4235,11.336
"Melitaea_persea",0.5," threshold=false -h -q",13,2949.93007897868,0.74075,0.7403,6.6183,14.9355,31.6865,19.6747,8.2212,18.8638
"Melitaea_phoebe",0.8," -h",7,610.74574178378,0.7721,0.7114,4.816,31.1639,40.8997,2.9853,2.7134,17.4217
"Melitaea_robertsi",0.6," threshold=false -h -q",11.5,2193.37111693899,0.7425,0.71845,13.1388,15.0347,17.2892,17.2086,16.6072,20.7215
"Melitaea_sarvistana",1," -h",6.5,608.472536960168,0.7736,0.7097,36.7314,16.1086,0.5548,1.3326,36.6769,8.5958
"Melitaea_tangigharuensis",1.3,"autofeature=true",3,137.677693154865,0.6749,0.7146,29.0297,18.954,0.0082,18.0201,11.8767,12.1112
"Melitaea_telona",1.2," -h",5,290.040321496587,0.81515,0.7218,27.049,21.7968,8.0111,0,24.9718,18.1713
"Melitaea_timandra",1.1,"autofeature=true",4,186.170944460771,0.91325,0.83215,33.7153,37.5781,1.4868,0,2.6149,24.6048
"Melitaea_turkmanica",1.1," -q",2.5,198.470606221162,0.78245,0.79425,14.1462,1.0748,0,17.9353,49.0887,17.7551
"Minois_dryas",0.5,"autofeature=true",2.5,98.8998095325418,0.807,0.88915,16.5445,8.4273,22.1937,29.2545,15.2475,8.3326
"Muschampia_nomas",1.2," -h -q",4.5,796.425719834324,0.7685,0.7267,9.2833,8.9628,21.1385,1.8913,11.17,47.5541
"Muschampia_plurimacula",1.3," -h",4.5,270.184313851317,0.827,0.84415,5.6373,31.3665,0.0112,22.8489,36.4374,3.6986
