Names;Design;Priority hotspots;Species richness;Species (min & max);Richness rank;Total coverage of PHs (km2);Protection rank;Potential conservation rank
Sousan sefid;NM;1;20;20,21;3;0.46;2;3
Taftan;NM;1;19;19,19;1;2.24;1;1
Tange razianeh;NM;0;7;7,7;1;0.53;1;1
Tange vashi;NM;4;27;27,27;2;34.42;1;2
Tar va havir;NM;4;40;40,40;2;5.51;1;2
7 kilometer international boundary;NHA;-2, 0, -1, 1, 2;2;0,14;1;21327.54;5;1
Abshineh Dam;NHA;0;10;10,10;1;0.85;1;1
Aghgol;NHA;0;14;12,16;2;8;1;2
Aghgol-e Makou;NHA;-2;0;0,1;1;991.64;4;1
Ahangaran;NHA;-2;2;2,2;1;1.38;2;1
Allah gholi;NHA;2;36;36,36;2;52.92;1;2
Alvand;NHA;0, 2;20;15,26;3;164.54;2;3
Amroleh dalakhani;NHA;0;14;12,15;2;324.55;2;2
Anjerak-e rabar;NHA;2;30;28,31;3;120.59;2;3
Anzan;NHA;0;8;7,8;4;191.24;3;4
Ariz-e bafgh;NHA;0;9;0,16;3;980.9;4;3
Avaj - Abegarm;NHA;0;16;9,18;3;892.65;4;3
Aziz Abad No Huntinh Area;NHA;0;9;6,15;2;171.86;2;2
Badil;NHA;0;12;7,17;2;36.9;2;2
Bagh-e Shadi;NHA;1, 2;24;24,25;3;275.56;2;3
Bagheran;NHA;-2;4;4,4;3;11.24;1;2
Basiran;NHA;1, 2;30;22,38;4;869.74;4;4
Bayan;NHA;0;6;4,11;2;278.46;4;2
Bazarjan;NHA;0;20;16,22;3;209.03;2;3
Bazd;NHA;-1, -2;2;0,5;1;75.2;2;1
Bazman;NHA;-1;10;6,12;3;940.81;4;3
Bina & Bijar & Chakoor;NHA;-1, -2;2;1,3;1;381.75;2;1
bolbol ab;NHA;-1;4;0,10;2;649.79;3;2
Bozmay;NHA;-1;4;3,4;1;295.03;2;1
Chaf;NHA;0;4;2,5;1;3.78;1;1
