genus,species,y,x,Endemic
Rhagades,Rhagades tarmanni,32.745794,50.02845,T
Zygaena,Zygaena turkmenica,31.397239,51.564873,F
Zygaena,Zygaena chirazica,31.759483,51.554238,T
Zygaena,Zygaena seitzi,33.043436,47.77073,T
Zygaena,Zygaena tamara,35.688054,46.316439,F
Zygaena,Zygaena tenhagenova,36.05011,45.972195,T
Zygaena,Zygaena lonicerae,38.87443611,46.895675,F
Jordanita,Jordanita horni,38.76839167,47.09995,F
Zygaena,Zygaena haberhaueri,38.76839167,47.09995,F
Zygaena,Zygaena carniolica,38.76839167,47.09995,F
Zygaena,Zygaena minos,36.449998,51.072529,F
Zygaena,Zygaena minos,36.449998,51.072529,F
Zygaena,Zygaena pseudorubricundus,34.04841667,48.18535556,T
Zygaena,Zygaena dorycnii,36.49019722,51.14263333,F
Zygaena,Zygaena cambysea,36.221327,51.265603,F
Zygaena,Zygaena haberhaueri,36.221327,51.265603,F
Zygaena,Zygaena cambysea,36.184633,51.359576,F
Zygaena,Zygaena tamara,36.140391,51.338186,F
Zygaena,Zygaena tamara,36.139704,51.300946,F
Zygaena,Zygaena cambysea,36.14455278,51.30593611,F
Zygaena,Zygaena cambysea,36.418707,51.00682,F
Zygaena,Zygaena rosinae,36.184633,51.359576,F
Zygaena,Zygaena ecki,36.184633,51.359576,T
Zygaena,Zygaena loti,36.2615,51.29931111,F
Zygaena,Zygaena tamara,36.248318,51.180559,F
Zygaenoprocris,Zygaenoprocris hofmanni,36.58722222,54.71583333,T
Zygaenoprocris,Zygaenoprocris hofmanni,36.58722222,54.71583333,T
Zygaena,Zygaena viciae,36.775,50.831,F
Zygaena,Zygaena purpuralis,36.359144,50.998193,F
Zygaena,Zygaena haberhaueri,36.248318,51.180559,F
Zygaena,Zygaena viciae,36.775,50.831,F
Zygaena,Zygaena viciae,36.775,50.831,F
Zygaena,Zygaena loti,38.76839167,47.09995,F
Zygaena,Zygaena haberhaueri,36.69646667,48.71988611,F
Zygaena,Zygaena rosinae,36.746143,48.053957,F
Zygaena,Zygaena ecki,36.58656667,54.74938056,T
Zygaena,Zygaena tamara,36.212594,54.219138,F
Zygaena,Zygaena cacuminum,36.553382,54.409935,T
Zygaena,Zygaena turkmenica,35.513781,49.06809,F
Jordanita,Jordanita ambigua,36.372539,50.220399,F
Zygaena,Zygaena filipendulae,38.76839167,47.09995,F
Zygaena,Zygaena araxis,35.513781,49.06809,F
Zygaena,Zygaena dorycnii,35.875345,51.005166,F
Zygaena,Zygaena dorycnii,35.79906,51.006788,F
Zygaena,Zygaena cambysea,35.84503056,51.41079722,F
Jordanita,Jordanita horni,35.85885,51.407575,F
Zygaena,Zygaena cambysea,36.10581667,51.30811944,F
Zygaena,Zygaena rosinae,35.8969,50.99273,F
Zygaena,Zygaena dorycnii,35.77986389,53.33488611,F
Zygaena,Zygaena rosinae,36.10581667,51.30811944,F
Zygaena,Zygaena tamara,36.10581667,51.30811944,F
Zygaena,Zygaena tamara,36.102435,51.303229,F
Zygaena,Zygaena dorycnii,36.48846667,53.38338333,F
Zygaena,Zygaena cambysea,36.102435,51.303229,F
Zygaena,Zygaena haberhaueri,36.102435,51.303229,F
Zygaena,Zygaena rosinae,36.102435,51.303229,F
Zygaena,Zygaena rosinae,35.8969,50.99273,F
